L,T,chi,chi_err
28,8.34,0.4032015972544,0.0011316661646977475
28,8.363999999999999,0.4395229629336,0.0010763960942076255
28,8.388,0.4826912691484802,0.0011389257993097645
28,8.413,0.5402826704833601,0.00150735621830852
28,8.437000000000001,0.59903840699584,0.001337523778456109
28,8.461,0.67490984641696,0.0016303922242803784
28,8.485,0.7705576766809601,0.0022454312541971434
28,8.509,0.8957732337959998,0.0020067279737623948
28,8.533999999999999,1.0652469221665604,0.002993765072453373
28,8.558,1.27688918798784,0.003531614939147696
28,8.582,1.5814150919100798,0.003983375972691596
28,8.606,2.0174941822224,0.005084612768091164
28,8.63,2.697603608884799,0.005961046326935251
28,8.655,3.840030956104,0.009705224440071178
28,8.679,5.792265601057601,0.013747483741086846
28,8.681643,6.099862770444799,0.01459654418781223
28,8.683056,6.302971507591878,0.018203290927031098
28,8.684469,6.455236283396925,0.0177984321843062
28,8.685882000000001,6.678201846689477,0.01995488414677673
28,8.687294999999999,6.865198899252187,0.020591193205598442
28,8.688708,7.088843494304492,0.022435398292977117
28,8.690121000000001,7.326987973332676,0.023170828322663217
28,8.691533999999999,7.574412332431757,0.01918425841647661
28,8.692948,7.909634010363075,0.01982116382399868
28,8.694361,8.172468069613291,0.021603065124474918
28,8.695774,8.429889567418092,0.02562964118297337
28,8.697187,8.699931494271013,0.02365508270433363
28,8.6986,8.85251596921009,0.025500641629436167
28,8.700013,8.941863594682092,0.025132246347967964
28,8.701426,8.976291545797912,0.02872819277055101
28,8.702838999999999,8.839712398678646,0.024713730501559332
28,8.703,8.8368548342704,0.01888361519180611
28,8.704252,8.755862906587572,0.02281564945063456
28,8.705665,8.549171483824242,0.02504741975680776
28,8.707078,8.390252401974156,0.02307944467234449
28,8.708491,8.221506017963325,0.021659764867704125
28,8.709904,8.076884647910399,0.021055352885244655
28,8.711317,7.86679581576172,0.0193965140042095
28,8.71273,7.688806090615133,0.02044190527008681
28,8.714143,7.54076978638868,0.02152197881660536
28,8.715556,7.340387171532803,0.02056722277186166
28,8.716969,7.231182786109043,0.021478062417567476
28,8.718382,7.022333563812432,0.0186339208064125
28,8.719795,6.8712647100022135,0.018310586815701208
28,8.721209,6.738417134730833,0.017821329165564774
28,8.722622,6.595065906384739,0.017781055016985382
28,8.724035,6.462513637860432,0.0168715674632894
28,8.725448,6.345740678688494,0.018674285667390537
28,8.727,6.176106556177598,0.016703313545836866
28,8.752,4.5916696033152,0.010545861661973412
28,8.776,3.6432263105616,0.008141027923908221
28,8.77846,3.587189827431469,0.009285573542517474
28,8.8,3.0213379453712004,0.007940428123421026
28,8.824,2.5736976720336004,0.007029094641926933
28,8.847999999999999,2.269673186804801,0.005550877750524543
28,8.873,1.9870983596912,0.004389256281001874
28,8.897,1.7901781599732791,0.004419940346677159
28,8.921,1.6221754444448,0.003765485822338933
28,8.945,1.4890201959908798,0.0038091446077642283
28,8.969,1.3678534155955198,0.0035533700836444986
28,8.994,1.2730492967315203,0.003087716885293206
28,9.017999999999999,1.1812048663654404,0.002627238002144953
28,9.042,1.1106368125999997,0.002447149667899057
