Sigma,N,Delta,Delta_err
0.784,64,0.03449851496458762,0.0028074493322925538
0.784,128,0.0383399209486166,0.002752645904581842
0.784,256,0.05082266910420475,0.0030481411335526627
0.784,512,0.06395237180718263,0.003504568386958836
0.784,1024,0.08280367231638418,0.003823518331163085
