sigma,z,L,T,mean,sem
0.25,6,2048,1.85,2.8187032732353514,0.02012101663692232
0.25,6,2048,1.875,2.5034650887957297,0.01769519658943155
0.25,6,2048,1.9,2.222027044718532,0.015509333622781254
0.25,6,2048,1.925,1.9727785373590252,0.01351200792188285
0.25,6,2048,1.95,1.7508772941645194,0.01169159694628001
0.25,6,2048,1.975,1.5566552594180212,0.010054651495635888
0.25,6,2048,2.0,1.3853458500921116,0.008616908474650405
0.25,6,2048,2.025,1.236222227288355,0.007322055230883944
0.25,6,2048,2.05,1.1064352471924561,0.006203419017223757
0.25,6,2048,2.075,0.993423567316366,0.00523600066072423
0.25,6,2048,2.1,0.8943590803343094,0.0043895739921704525
0.25,6,2048,2.125,0.8092823965053891,0.0036758922002567717
0.25,6,2048,2.15,0.7349275133675345,0.0030538325413404185
0.25,6,2048,2.175,0.6706500313780345,0.002551948183463061
0.25,6,2048,2.2,0.6150683861859744,0.0021164071616916595
0.25,6,2048,2.225,0.5665039453445041,0.0017736806682770655
0.25,6,2048,2.25,0.5240075002600301,0.0014781326718769545
0.25,6,2048,2.275,0.4872293813142155,0.0012342091450246295
0.25,6,2048,2.3,0.4548807708352607,0.0010381455612528472
0.25,6,2048,2.325,0.42620817184991533,0.0008724640867518782
0.25,6,2048,2.35,0.4011054607848121,0.0007458032166889793
0.25,6,2048,2.375,0.37857333914129104,0.0006294953281918063
0.25,6,2048,2.4,0.35901921083734945,0.0005395166962429859
0.25,6,2048,2.425,0.3412177595122644,0.0004699824171294892
0.25,6,2048,2.45,0.3251183144877608,0.0004087405727156416
0.25,6,2048,2.475,0.3107937257294212,0.0003610498836094949
0.25,6,2048,2.5,0.2978878233132693,0.0003212950839228343
