L,Temp,LogSweeps,mean,sem
36,8.775928,10,0.940082510327,0.000733813996114
36,8.776094,10,0.929388659083,0.00102050495916
36,8.77626,10,0.917536737416,0.0012243188625
36,8.776426,10,0.902330918896,0.00138197624638
36,8.776592,10,0.880443346012,0.00150091526826
36,8.776758,10,0.857782117118,0.00175727424761
36,8.776924,10,0.828990132637,0.00192287323484
36,8.77709,10,0.79659524616,0.00213505613633
36,8.777255,10,0.758852118887,0.00230987846302
36,8.777421,10,0.71488815549,0.00269974895543
36,8.777587,10,0.671208978938,0.00308107274055
36,8.777753,10,0.625932947866,0.00299351113863
36,8.777919,10,0.580673492166,0.00307247769531
36,8.778085,10,0.532507419736,0.00381075357923
36,8.778251,10,0.491742110111,0.00418382117475
36,8.778417,10,0.449405658605,0.00431506683328
#36,8.77846,10,0.439638472394,0.0045056115843
36,8.778583,10,0.406062300352,0.00481428809649
36,8.778749,10,0.367291475069,0.0047248479956
36,8.778915,10,0.330770236822,0.00565631132724
36,8.779081,10,0.297479765101,0.0054400984073
36,8.779247,10,0.267128098349,0.00545671993341
36,8.779413,10,0.239909584952,0.00652942853675
36,8.779579,10,0.223400843295,0.00670815874654
36,8.779745,10,0.197916539958,0.00650524572705
36,8.77991,10,0.184714912551,0.00723217434847
36,8.780076,10,0.174992756287,0.0080165036923
36,8.780242,10,0.155337667829,0.00796475662677
36,8.780408,10,0.135400188859,0.00873237537797
36,8.780574,10,0.13207535611,0.00702283829252
36,8.78074,10,0.121636741328,0.00899884772276
36,8.780906,10,0.108520627156,0.0081098558491
36,8.781072,10,0.113902841464,0.00899942641801
