Sigma,N,Q,Mean,Mean_err,Median,Median_err
0.6,64,0.0,0.0,0.0,0.0,0.0
0.6,64,0.03125,0.015025551242131252,0.000253016751950094,0.007238598041911044,0.0003263746475618102
0.6,64,0.0625,0.03012531830400655,0.0005008400424735117,0.014834519499500615,0.0006503570646083047
0.6,64,0.09375,0.04537688782256331,0.0007397992185513664,0.02310560288026443,0.0009811373337539964
0.6,64,0.125,0.06086156512446184,0.0009680343500628188,0.03219510818545898,0.0013087581801614402
0.6,64,0.15625,0.07666681575291452,0.001185035824858325,0.04209741136281217,0.0015462308936957181
0.6,64,0.1875,0.0928856902824318,0.0013910826142860102,0.053727136713717386,0.002096573035334371
0.6,64,0.21875,0.10961680640535434,0.0015868648804821433,0.06720953368209154,0.002445018606717285
0.6,64,0.25,0.1269631339307706,0.0017732035800699841,0.0826181246315664,0.0028450617745935172
0.6,64,0.28125,0.1450327102173352,0.0019507708592630894,0.09994459724645925,0.0033723190849542324
0.6,64,0.3125,0.16394585536978998,0.002120005922179849,0.12027878854772737,0.004273583532096161
0.6,64,0.34375,0.1838452324733739,0.0022812739377297,0.1427062288256709,0.004371694303778339
0.6,64,0.375,0.20489942250123067,0.002434880666671997,0.16548820625621607,0.004621891409799817
0.6,64,0.40625,0.2273012054698335,0.0025808926109406783,0.19208038117113566,0.0054484967504828345
0.6,64,0.4375,0.2512713360444512,0.0027190158939249306,0.22305890564282715,0.005833002041104303
0.6,64,0.46875,0.2770650309862123,0.002848551047790862,0.2578623838281284,0.00606720732990905
0.6,64,0.5,0.30497508432274895,0.002968234594164055,0.2914874779336841,0.005746549741433198
0.6,64,0.53125,0.3353417665636533,0.0030760059237018964,0.3297821134062935,0.006210922979637494
0.6,64,0.5625,0.3685567131899411,0.0031687154725451435,0.37279683151421744,0.004940101161336502
0.6,64,0.59375,0.40503996365433714,0.0032418815226682544,0.4188091860663156,0.006278890971137816
0.6,64,0.625,0.4452121163375871,0.003289494022437889,0.46852502566714666,0.0055231993963595965
0.6,64,0.65625,0.48947056155144636,0.0033036937690246447,0.5224934661771464,0.005352321785542572
0.6,64,0.6875,0.5381290451653729,0.003274568099454554,0.5811338186394409,0.004659336193622951
0.6,64,0.71875,0.5912945787277558,0.003190317826184862,0.6398679001539836,0.004410788296308488
0.6,64,0.75,0.6487023905683669,0.00303780529996876,0.7028583311978548,0.0036089953323259335
0.6,64,0.78125,0.7094929413568695,0.0028041424125630787,0.7665397855730697,0.0033399586766213215
0.6,64,0.8125,0.7719415075359024,0.002480339612185234,0.8264276146475422,0.0024086468346386698
0.6,64,0.84375,0.8332812181606314,0.002066315074706914,0.8820757925857865,0.0019567278082484128
0.6,64,0.875,0.8897555046005221,0.0015771353375307212,0.9287729788631314,0.0013382980021747412
0.6,64,0.90625,0.9370757247745201,0.0010516015516313954,0.9635127914387179,0.0008507978412698783
0.6,64,0.9375,0.9715185512715615,0.0005603543414062321,0.9855036685380668,0.00031167601136086005
0.6,64,0.96875,0.9916922964820608,0.0001927711505884574,0.9963944016673058,9.260357836827284e-05
0.6,64,1.0,1.0,0.0,1.0,0.0
