Sigma,N,Q,Mean,Mean_err,Median,Median_err
0.6,256,0.0,0.0,0.0,0.0,0.0
0.6,256,0.0078125,0.003408169014216898,7.31673215569387e-05,0.0008716232778048601,4.964092086608564e-05
0.6,256,0.015625,0.006816854533726859,0.00014615600217108952,0.0017455878707590797,9.807038543145196e-05
0.6,256,0.0234375,0.010227157450112295,0.00021880931187367715,0.0026359271560309175,0.00014708701472803545
0.6,256,0.03125,0.013639333051311044,0.0002909552626796543,0.0035348498081707036,0.000196857939692259
0.6,256,0.0390625,0.01705426394552158,0.00036245421588331866,0.0044605362417601034,0.0002510149285631887
0.6,256,0.046875,0.02047320155709683,0.00043319582538707595,0.0054145989125418655,0.00030068588745949253
0.6,256,0.0546875,0.023896481838923435,0.0005030601763128311,0.00640108874440473,0.00034705604952427085
0.6,256,0.0625,0.027325043204044785,0.0005719687342668704,0.007379856690768069,0.0004040331645570647
0.6,256,0.0703125,0.03076009215601982,0.000639868876128321,0.008439656436447241,0.00045674607297630415
0.6,256,0.078125,0.03420286140582337,0.000706714798003031,0.009533409982922321,0.0005293574357364371
0.6,256,0.0859375,0.037654723400070075,0.0007724837138500498,0.010701772138478593,0.000595873805636505
0.6,256,0.09375,0.04111676124828531,0.0008371672084867453,0.011903874607498295,0.0006334430045670606
0.6,256,0.1015625,0.0445902957583489,0.0009007642601611833,0.013188566626838979,0.0007286171589829723
0.6,256,0.109375,0.048077053925170844,0.000963283328409092,0.014507669348211473,0.0007883023357284089
0.6,256,0.1171875,0.05157863707099061,0.0010247323910052492,0.01596899653226767,0.0008741523745916808
0.6,256,0.125,0.05509659984016113,0.0010851283325907996,0.017517711612814655,0.0009148668824841887
0.6,256,0.1328125,0.05863272132577845,0.0011444952552007457,0.01908782348382869,0.0009503617360728637
0.6,256,0.140625,0.06218868983561281,0.0012028541078418927,0.020709414476276673,0.0010369362792787705
0.6,256,0.1484375,0.06576640464062487,0.0012602233506201692,0.022495495736596025,0.001179069260415482
0.6,256,0.15625,0.06936805832871577,0.0013166265714463273,0.02431082740425458,0.00122385030489912
0.6,256,0.1640625,0.07299579301010387,0.0013720870790954632,0.026206827968349,0.00125371111045302
0.6,256,0.171875,0.07665166346799583,0.0014266313939366808,0.02817754833399756,0.0012412198249973415
0.6,256,0.1796875,0.0803381548994281,0.0014802857873842442,0.030279010906808627,0.0012884262392752273
0.6,256,0.1875,0.08405766352909158,0.0015330742991086286,0.03245966263114793,0.0014068597840955139
0.6,256,0.1953125,0.08781219275602165,0.001585022343355644,0.034838509291397694,0.0015223914810482823
0.6,256,0.203125,0.0916046321016397,0.0016361667420390215,0.03735751731692623,0.0016377819370212863
0.6,256,0.2109375,0.09543770014000529,0.0016865432308719077,0.03983235175907092,0.0019303315247885494
0.6,256,0.21875,0.09931368539145649,0.00173618079380062,0.042554179549214005,0.0020383202261349005
0.6,256,0.2265625,0.10323519087154745,0.0017851138527348839,0.045436213597662624,0.002112510815918955
0.6,256,0.234375,0.10720492271186621,0.00183338079779895,0.048337894618512865,0.002348807921921187
0.6,256,0.2421875,0.11122573503736945,0.0018810189455738978,0.0512826335132188,0.002485253686909914
0.6,256,0.25,0.1153005535606763,0.0019280604915686622,0.05442014762760064,0.002646154300029244
