T,N,Delta,Delta_err
0.4,64,0.0844408,0.0039757635999999996
0.4,216,0.10264200000000001,0.0043097132
0.4,512,0.136301,0.004804942800000001
0.4,1000,0.15013900000000002,0.0050406014
0.4,1728,0.15320799999999998,0.0063113202000000005
