sigma,z,L,T,mean,sem
0.25,6,512,1.85,0.3461343485817415,0.0021962680037885
0.25,6,512,1.875,0.3231824379178405,0.0021433174666412678
0.25,6,512,1.9,0.3012423645632492,0.002082100100721782
0.25,6,512,1.925,0.2791058242991122,0.001999145202424656
0.25,6,512,1.95,0.25779121703678776,0.001937271393186421
0.25,6,512,1.975,0.23790152690688,0.001840565612097989
0.25,6,512,2.0,0.21794344767634447,0.0017664641691728575
0.25,6,512,2.025,0.1993960517166716,0.0016775835352092212
0.25,6,512,2.05,0.18170883810003907,0.0016011876173584164
0.25,6,512,2.075,0.16572058360431613,0.0015107024099953216
0.25,6,512,2.1,0.1500093262004293,0.0014329918279287633
0.25,6,512,2.125,0.13524714132519616,0.001362903327820576
0.25,6,512,2.15,0.12317529455713645,0.0012953196871889104
0.25,6,512,2.175,0.10954121248111996,0.0012314820960272381
0.25,6,512,2.2,0.0995186701915421,0.0011623518878707444
0.25,6,512,2.225,0.08931351389989955,0.0010914111015230632
0.25,6,512,2.25,0.08048203362583882,0.0010465974161825685
0.25,6,512,2.275,0.07404004924281678,0.001002286040346558
0.25,6,512,2.3,0.06703034267270172,0.0009598420123729797
0.25,6,512,2.325,0.059783314717884214,0.0009487763613939998
0.25,6,512,2.35,0.054135669558749364,0.0008713408779552463
0.25,6,512,2.375,0.048322255857847086,0.0008357502138746293
0.25,6,512,2.4,0.04376731254668137,0.0007895600797446702
0.25,6,512,2.425,0.04130385764295818,0.0007552543371079812
0.25,6,512,2.45,0.03719418625512617,0.0007623392438942662
0.25,6,512,2.475,0.0348641858146095,0.0007060812548639648
0.25,6,512,2.5,0.031346053356699814,0.0006876404833008892
