s,L,mean,std
2.0,8,-1.7538592504691988,0.001118153177218107
2.0,10,-1.8036857159047779,0.0010595850614880413
2.0,12,-1.836812756024754,0.0008722553734091095
2.0,14,-1.8616785844337624,0.000809930510674763
2.0,16,-1.878675996108675,0.0008699266280682551
2.0,18,-1.8924647063383473,0.0007187066237283621
2.0,32,-1.9418081240383516,0.0009043166210527902
