sigma,z,L,T,mean,sem
0.0,6,1024,1.85,2.334013483036391,0.011478187437228251
0.0,6,1024,1.875,2.121411103896562,0.010292381058485222
0.0,6,1024,1.9,1.9286427362180802,0.00919232168128475
0.0,6,1024,1.925,1.7542755000723405,0.008184814765539105
0.0,6,1024,1.95,1.5975935623648467,0.007254844846391701
0.0,6,1024,1.975,1.455824135832201,0.006414641197340053
0.0,6,1024,2.0,1.3289250092072868,0.005643656290365397
0.0,6,1024,2.025,1.2143891943702825,0.004953577344022518
0.0,6,1024,2.05,1.1126950982753832,0.0043339744400931616
0.0,6,1024,2.075,1.021652846856879,0.0037862799007202
0.0,6,1024,2.1,0.9402601077732942,0.0032902564371707107
0.0,6,1024,2.125,0.8679250934931522,0.002864812479284952
0.0,6,1024,2.15,0.8031994195608045,0.00248027595097205
0.0,6,1024,2.175,0.7458757984100763,0.0021522698093253967
0.0,6,1024,2.2,0.6943180786327793,0.0018681747393059602
0.0,6,1024,2.225,0.6484768235947566,0.0016161118541216798
0.0,6,1024,2.25,0.6073082351690561,0.0013974820616873655
0.0,6,1024,2.275,0.57086447488437,0.001220041918515217
0.0,6,1024,2.3,0.5375356037431926,0.001052617968567867
0.0,6,1024,2.325,0.5083328325734697,0.0009216284658777392
0.0,6,1024,2.35,0.4816879695649491,0.0008077129464505742
0.0,6,1024,2.375,0.457486556904571,0.000704488890523284
0.0,6,1024,2.4,0.4359644435671849,0.0006236550101158916
0.0,6,1024,2.425,0.4161079277878111,0.0005464805468969356
0.0,6,1024,2.45,0.3983226104221938,0.0004873489081663961
0.0,6,1024,2.475,0.3819529832350624,0.00043309146510883294
0.0,6,1024,2.5,0.3671000276268033,0.00038722639735803727
