sigma,z,L,T,mean,sem
0.375,6,512,1.863,0.3209668250893513,0.0010670439422671412
0.375,6,512,1.875,0.3095888577059205,0.001053025527521445
0.375,6,512,1.887,0.29863201885853685,0.0010358749228619641
0.375,6,512,1.9,0.2878083057065929,0.0010208236083660022
0.375,6,512,1.913,0.2769977506187732,0.001004845133316916
0.375,6,512,1.925,0.2661984410333577,0.0009870158294491595
0.375,6,512,1.938,0.25555613604117833,0.0009691187068816011
0.375,6,512,1.95,0.24557254614193896,0.0009509927480803662
0.375,6,512,1.962,0.23537053819788706,0.0009310533382346675
0.375,6,512,1.975,0.22555918906735944,0.0009121328995379248
0.375,6,512,1.988,0.21588227235715152,0.0008924398189471305
0.375,6,512,2.0,0.2064703278453768,0.0008729828374864117
0.375,6,512,2.013,0.19725123177818585,0.0008542746294600966
0.375,6,512,2.025,0.18851022719148086,0.0008347395036781933
0.375,6,512,2.0380000000000003,0.17993490127814368,0.0008186280282770001
0.375,6,512,2.05,0.17106229731311776,0.0007961970511460662
0.375,6,512,2.062,0.16319317262201638,0.0007788988657319327
0.375,6,512,2.075,0.1553122237058689,0.0007563818806820418
0.375,6,512,2.087,0.14807103795631926,0.0007411801316441397
0.375,6,512,2.1,0.14081422989156486,0.0007212936344036616
0.375,6,512,2.34,0.0531459371930768,0.000433916737715404
0.375,6,512,2.6,0.02283745741341024,0.0002721921791312663
0.375,6,512,2.9,0.012454337501555977,0.00024496789131876306
0.375,6,512,3.23,0.007648662255472099,0.0002444637038545411
0.375,6,512,3.59,0.005704968687687116,0.00024629384899062224
0.375,6,512,4.0,0.004645676583035655,0.00024793088257474267
