model,sigma,L,Tx_G_mean,Tx_G_std,Tx_chi_mean,Tx_chi_std
diluted,0.0,256,1.9418683721546566,0.014556977717221153,2.0281206028055574,0.00742192117776071
diluted,0.0,512,1.9420262712234038,0.012452578936201298,2.0276165649775484,0.006745670745512151
diluted,0.0,1024,2.018704907447265,0.012806725629392087,2.0527529262291044,0.0059752225860273045
diluted,0.0,2048,2.0212310664459867,0.011325281837103225,2.0433356839210464,0.006433004196607648
diluted,0.0,4096,2.033644483680579,0.011731405311085805,2.041108755316193,0.0067962868011190464
diluted,0.0,8192,2.0572055779914367,0.009408127581520284,2.0545716968777272,0.00579076120806143
