Sigma,N,Delta,Delta_err
0.896,64,0.058076923076923075,0.004726232972094041
0.896,128,0.052384150436534584,0.0034244590420367932
0.896,256,0.06169719941040219,0.0036043888752629377
0.896,512,0.0642240471678248,0.0036774582431191786
0.896,1024,0.07033059591492946,0.003848318989786706
