Sigma,N,Delta,Delta_err
0.784,64,0.028329906328535527,0.0025441006912634324
0.784,128,0.03221343873517787,0.002523151251937491
0.784,256,0.037477148080438755,0.002617517561842112
0.784,512,0.043403111196466296,0.0028871320104422718
0.784,1024,0.057733050847457626,0.0031926450070665826
