Sigma,N,Delta,Delta_err
0.0,64,0.0001973164956590371,0.0001973164956590371
0.0,128,0.0016974726518294984,0.0005658242172764995
0.0,256,0.007079646017699115,0.0011799410029498525
0.0,512,0.015634395670475046,0.0017702467160408595
0.0,1024,0.03143418467583497,0.0032082380390087463
