L,Temp,LogSweeps,mean,sem
12,8.75134,10,0.870234714022,0.000547172048813
12,8.753926,10,0.844977519835,0.000619080050733
12,8.756513,10,0.814384513833,0.000724052132751
12,8.7591,10,0.779442345538,0.000801964944384
12,8.761686,10,0.741523548677,0.000887091323102
12,8.764273,10,0.700187206245,0.000964478773319
12,8.76686,10,0.658247285678,0.00101340769501
12,8.769447,10,0.611636941048,0.0011258699091
12,8.772033,10,0.565212188955,0.0011536357816
12,8.77462,10,0.520579864357,0.00128853101997
12,8.777207,10,0.476241588827,0.00135747589806
#12,8.77846,10,0.458604238126,0.00419971511582
12,8.779793,10,0.43460928307,0.00144737759186
12,8.78238,10,0.390705331439,0.00162883866785
12,8.784967,10,0.358394296511,0.00173315667596
12,8.787553,10,0.325126348849,0.00175871716855
12,8.79014,10,0.29337511141,0.00197000053069
12,8.792727,10,0.265643758353,0.00214737107153
12,8.795314,10,0.24442043158,0.00216840981193
12,8.7979,10,0.216032276589,0.00225550734813
12,8.800487,10,0.198021600204,0.00230322783633
12,8.803074,10,0.182629126211,0.00249113816804
12,8.80566,10,0.163128742806,0.00264803182576
12,8.808247,10,0.144879382421,0.00255156089874
