N,Delta,Delta_err
64,0.0,0.0
128,0.0,0.0
256,0.00176991,0.0005894479
512,0.00821808,0.0012781638
1024,0.023584900000000002,0.0027854946
2048,0.0781457,0.0048840513
3072,0.119854,0.0059180160999999995
