sigma,z,L,T,mean,sem
0.375,6,8192,1.975,1.8416770124935813,0.011858179762672836
0.375,6,8192,1.988,1.6794526038363906,0.010577527658096645
0.375,6,8192,2.0,1.5317281729835444,0.009390113888653294
0.375,6,8192,2.013,1.3987845024702672,0.008315107645648074
0.375,6,8192,2.025,1.2783011557628754,0.007332803546634856
0.375,6,8192,2.0380000000000003,1.1697190930639052,0.006443601481932446
0.375,6,8192,2.05,1.0714857122258918,0.005638547695784333
0.375,6,8192,2.062,0.9834101676813292,0.004921989783426927
0.375,6,8192,2.075,0.904732723980793,0.0042924483728698755
0.375,6,8192,2.087,0.8335666595242494,0.003721039313681717
0.375,6,8192,2.1,0.770354972651055,0.003231092516106016
0.375,6,8192,2.16,0.5460320326123963,0.0015962180462899408
0.375,6,8192,2.22,0.4112540118555107,0.0007960381972822251
0.375,6,8192,2.28,0.32735939929354685,0.00042325140520828254
0.375,6,8192,2.35,0.2646969386470985,0.00023096403362168536
0.375,6,8192,2.42,0.2231753024171824,0.00014263207924406854
0.375,6,8192,2.48,0.19777239529079887,0.0001045446801202594
0.375,6,8192,2.55,0.17557184984723995,7.677527064862634e-05
0.375,6,8192,2.63,0.1566263190785805,6.018246135461245e-05
0.375,6,8192,2.7,0.1439264072126006,4.998217426227933e-05
0.375,6,8192,2.78,0.13229128671562249,4.1666137744194025e-05
0.375,6,8192,2.86,0.1230251057858718,3.622515063276237e-05
0.375,6,8192,2.94,0.11539452597083212,3.243119665360431e-05
0.375,6,8192,3.02,0.10909520940858096,2.9542142837905037e-05
0.375,6,8192,3.11,0.10310316325616432,2.6570075448711984e-05
0.375,6,8192,3.2,0.09814432863061297,2.4735411347937757e-05
0.375,6,8192,3.29,0.09387494020833798,2.2871717941509382e-05
0.375,6,8192,3.38,0.09023367027266424,2.2366501820584733e-05
0.375,6,8192,3.48,0.0867172422557942,2.0992021797360173e-05
0.375,6,8192,3.58,0.08372430895325933,2.000697013856339e-05
0.375,6,8192,3.68,0.08106583641737508,1.866036444123808e-05
0.375,6,8192,3.78,0.07876362369668975,1.8109687981800766e-05
0.375,6,8192,3.89,0.07654843471748693,1.7757492586623996e-05
0.375,6,8192,4.0,0.07455337346605563,1.6796962370031898e-05
