T,N,Delta,Delta_err
0.4,64,0.00327131,0.0008164892999999999
0.4,216,0.00322646,0.0008053123
0.4,512,0.00549127,0.0010348994999999999
0.4,1000,0.00677021,0.0011571444999999999
0.4,1728,0.0122812,0.0019298706
