sigma,z,L,T,mean,sem
0.25,6,256,1.85,1.8015301477936059,0.008202986736417476
0.25,6,256,1.875,1.6971511968822668,0.0076095016767538295
0.25,6,256,1.9,1.5991075904936762,0.0070577737480427985
0.25,6,256,1.925,1.508796328231227,0.006533696272305766
0.25,6,256,1.95,1.424098595573624,0.006043421854395988
0.25,6,256,1.975,1.3452954126697807,0.005578845138532714
0.25,6,256,2.0,1.2718327262141922,0.005156306677125947
0.25,6,256,2.025,1.2045096187565734,0.004762997475370161
0.25,6,256,2.05,1.1405999864716423,0.004392063350784123
0.25,6,256,2.075,1.0820823668412254,0.004051180450030272
0.25,6,256,2.1,1.0278459249204832,0.003719442618893585
0.25,6,256,2.125,0.977367834043166,0.0034233775259812646
0.25,6,256,2.15,0.9308098395978626,0.003153652537848169
0.25,6,256,2.175,0.8870657147757822,0.002903278985824003
0.25,6,256,2.2,0.8465400666415345,0.002661534013200356
0.25,6,256,2.225,0.8095675364247823,0.002450230775521373
0.25,6,256,2.25,0.7745573895869077,0.0022558968989666466
0.25,6,256,2.275,0.7417664712140972,0.002065908773731887
0.25,6,256,2.3,0.7124337525402211,0.0018976675747175726
0.25,6,256,2.325,0.6841874958400603,0.001751698645200135
0.25,6,256,2.35,0.6586402880252994,0.0016199429364778196
0.25,6,256,2.375,0.6344721161115711,0.0014864414056251743
0.25,6,256,2.4,0.6116869117077112,0.0013722026036784767
0.25,6,256,2.425,0.5910162746010295,0.0012620099888915634
0.25,6,256,2.45,0.5714421356362899,0.0011622305543652668
0.25,6,256,2.475,0.5531030136532826,0.0010775915476944346
0.25,6,256,2.5,0.5356592822776052,0.0009942343282880882
