T,N,Delta,Delta_err
0.4,64,0.00449806,0.0009568300999999999
0.4,216,0.00403307,0.0009000016000000001
0.4,512,0.00784468,0.0012354778
0.4,1000,0.0117483,0.0015204878
0.4,1728,0.0181148,0.0023368899
