Sigma,N,Delta,Delta_err
0.896,64,0.19884615384615384,0.008745243846847748
0.896,128,0.2025968211327513,0.006734546208413398
0.896,256,0.21920404295641188,0.006793963278543558
0.896,512,0.2202568961886713,0.006810259687848485
0.896,1024,0.22825858075384292,0.006932860658308835
