sigma,z,L,T,mean,sem
0.25,6,16384,2.0,0.25671065620239564,0.0036437829960748384
0.25,6,16384,2.025,0.197686935288248,0.003227502158117724
0.25,6,16384,2.05,0.14669213556306238,0.0027658241640355014
0.25,6,16384,2.075,0.10348645682839462,0.002357043946604069
0.25,6,16384,2.1,0.07045264356516368,0.0020456578342017764
0.25,6,16384,2.14,0.03669670050943225,0.00146090587344422
0.25,6,16384,2.18,0.018866370065827646,0.001058422173641232
0.25,6,16384,2.22,0.010237225698889862,0.0007271198360142265
0.25,6,16384,2.26,0.00675434770708686,0.0005931218162244322
0.25,6,16384,2.3,0.004208766623347582,0.0005711252536190961
0.25,6,16384,2.35,0.0027932438785839685,0.000551815797043299
0.25,6,16384,2.4,0.0029168160204756143,0.000549549691672272
0.25,6,16384,2.45,0.0011359502215620165,0.0005387356813272981
0.25,6,16384,2.5,0.0012343973792002313,0.0005390540612825134
