Sigma,N,Q,Mean,Mean_err,Median,Median_err
0.0,64,0.0,0.0,0.0,0.0,0.0
0.0,64,0.03125,0.013792208769820919,0.00027173440292796474,0.0046301933562277854,0.00022750109338203728
0.0,64,0.0625,0.027641351766138824,0.0005353855846133057,0.009523019998311386,0.0004878582818209753
0.0,64,0.09375,0.041610950780397137,0.0007858371210601741,0.015014071330991384,0.0006846945819822325
0.0,64,0.125,0.055770555288154146,0.0010214635155895286,0.021431528460841915,0.000879637984471561
0.0,64,0.15625,0.07018666446218866,0.0012427725458644657,0.028855973023321844,0.0012825808412892448
0.0,64,0.1875,0.08491714287099587,0.0014509031354768046,0.03756714428821615,0.0016309622966215666
0.0,64,0.21875,0.10002311274092732,0.0016469521085820842,0.04743899000209013,0.0021159325519267778
0.0,64,0.25,0.11558545868599794,0.0018320894950684767,0.059271457570751584,0.0025409412058111387
0.0,64,0.28125,0.13170480809691923,0.0020074546286001516,0.07249355626804815,0.0025619696825241256
0.0,64,0.3125,0.1484954348705709,0.002173929844127384,0.08837731594192061,0.0030892557753244383
0.0,64,0.34375,0.1660856778896782,0.0023321580141995733,0.10581081837443579,0.0032900585338619154
0.0,64,0.375,0.18462692264659128,0.00248270147848333,0.12485194453786534,0.004624904021345365
0.0,64,0.40625,0.2043004692450414,0.0026260335165084474,0.1487120102035431,0.004632272513565275
0.0,64,0.4375,0.22532513617783623,0.0027622969654599303,0.17706866552725203,0.005125891553550126
0.0,64,0.46875,0.24796492875966764,0.00289123965659839,0.20513095380304144,0.0051625856963500825
0.0,64,0.5,0.2725214159787848,0.0030121284297987953,0.23736291419496364,0.0053620957213391055
0.0,64,0.53125,0.29933190534213655,0.0031236888220720353,0.27457892353539043,0.006485658536540487
0.0,64,0.5625,0.3287823270750692,0.0032238804244215094,0.3136973003097966,0.006177959410287223
0.0,64,0.59375,0.3613163474412018,0.003309661080704346,0.3576964456151423,0.006511759908098635
0.0,64,0.625,0.39743847562069273,0.003376699650689945,0.40615975814994926,0.006505121933271513
0.0,64,0.65625,0.43769940136645064,0.003418717063941227,0.4565096679217377,0.006191023425122521
0.0,64,0.6875,0.4826624670916922,0.0034267452340337877,0.5119458521892847,0.005954687228714141
0.0,64,0.71875,0.5328226483185461,0.003388546245976236,0.5732489709314633,0.004860454908406999
0.0,64,0.75,0.5884632103830639,0.0032886724477479983,0.6385351601498057,0.004099242509306956
0.0,64,0.78125,0.6494453245693996,0.0031091392705129735,0.7053350341612531,0.0037737234588043358
0.0,64,0.8125,0.7148786274022937,0.0028315473911679754,0.7723366849001287,0.0031467964070039287
0.0,64,0.84375,0.7826701787006918,0.002442567778394294,0.8374359187172871,0.0023682288898984804
0.0,64,0.875,0.849110326532476,0.0019434280822659413,0.8970167023321819,0.0017132839346291628
0.0,64,0.90625,0.9088738194760099,0.0013635714834068918,0.9436873665586756,0.0010468859263774355
0.0,64,0.9375,0.9560030211194709,0.0007746455315560709,0.9757656374931105,0.0005752400741677659
0.0,64,0.96875,0.9862440859130981,0.00028697740210106046,0.9933533182564374,0.0001539508728923662
0.0,64,1.0,1.0,0.0,1.0,0.0
