T,N,Delta,Delta_err
0.4,64,0.125128,0.004730975300000001
0.4,216,0.13047,0.004783002
0.4,512,0.146499,0.0049519567
0.4,1000,0.147352,0.0050017796
0.4,1728,0.147989,0.0062219775
