sigma,L,T,mean,sem
0.0,128,0.5,0.7800856919030721,0.0012913278487203794
0.0,128,0.525,0.7641358438913376,0.0013305537470381596
0.0,128,0.55,0.7469952180057521,0.0013683049763224195
0.0,128,0.575,0.7280971641842456,0.0014096080671009792
0.0,128,0.6,0.7075949910543617,0.0014498020310752086
0.0,128,0.625,0.6852756638061146,0.0014892203881298552
0.0,128,0.65,0.6610381191277561,0.0015295223606369398
0.0,128,0.675,0.6347116744958862,0.0015675783518154856
0.0,128,0.7,0.6061652238533001,0.0016008874300740155
0.0,128,0.725,0.5758061909962132,0.0016286867174996546
0.0,128,0.75,0.5433891391164135,0.001647857877619441
0.0,128,0.775,0.5092942522294233,0.0016553780878161858
0.0,128,0.8,0.4735076002524834,0.0016530733226455224
0.0,128,0.825,0.4367294048120456,0.0016303627967230632
0.0,128,0.85,0.399157760603032,0.0015950973418006075
0.0,128,0.875,0.3615427959464761,0.0015413790457182086
0.0,128,0.9,0.3242676187596238,0.0014717448921624694
0.0,128,0.925,0.2885215769991443,0.001387358101030037
0.0,128,0.95,0.25398798785754084,0.0012912398950539886
0.0,128,0.975,0.22281611593587086,0.0011918223073944234
0.0,128,1.0,0.1934374435557752,0.001088168879846123
0.0,128,1.025,0.1677234729785736,0.0009839780569645671
0.0,128,1.05,0.1442863665758852,0.0008993111827264621
0.0,128,1.075,0.12473345512360362,0.0008064624650911536
0.0,128,1.1,0.10744378730721328,0.0007268617682983078
0.0,128,1.125,0.0928857462282058,0.0006399858376699674
0.0,128,1.15,0.08144789944386711,0.0005671617827018109
0.0,128,1.175,0.0711304385435169,0.0004948565135610679
0.0,128,1.2,0.06282561064273072,0.00043799308337932045
0.0,128,1.225,0.055706423586553616,0.0003786177492982892
0.0,128,1.25,0.049742707986383035,0.0003404362999443324
0.0,128,1.275,0.04499706676062576,0.0002977328196878576
0.0,128,1.3,0.041091857801227816,0.00026677944362877795
0.0,128,1.325,0.0376853658102555,0.0002408837781731227
0.0,128,1.35,0.034773351041387936,0.00022520846590960938
0.0,128,1.375,0.03246176478151246,0.0002110408485647141
0.0,128,1.4,0.030169799388501325,0.0002004617366126057
0.0,128,1.425,0.028185652760310487,0.0001965211418527886
0.0,128,1.45,0.02687307484025012,0.00019207403721738096
0.0,128,1.475,0.025413160312434683,0.0001876318999714901
0.0,128,1.5,0.024393945894933246,0.00018597199358504117
0.0,128,1.525,0.02301885481678162,0.0001850030238346756
0.0,128,1.55,0.022263158258009508,0.00018467563058259165
0.0,128,1.575,0.021085181480496845,0.00018356736301552783
0.0,128,1.6,0.020231483422068458,0.0001835550850807316
