sigma,z,L,T,mean,sem
0.25,6,1024,1.85,0.3705681332447858,0.0022591426406249394
0.25,6,1024,1.875,0.3430950581407905,0.002200626784394518
0.25,6,1024,1.9,0.3158489676578173,0.0021372156606849924
0.25,6,1024,1.925,0.2887157234915644,0.0020607013353274306
0.25,6,1024,1.95,0.2624992233751377,0.001971972044852007
0.25,6,1024,1.975,0.2370837355927567,0.0018749492030869445
0.25,6,1024,2.0,0.21237598203727734,0.0017626708980321086
0.25,6,1024,2.025,0.1894286246424529,0.0016518858739041744
0.25,6,1024,2.05,0.1684443150494444,0.0015630837963592605
0.25,6,1024,2.075,0.14909562406443214,0.0014497162616706359
0.25,6,1024,2.1,0.1305103662259154,0.0013665415363112814
0.25,6,1024,2.125,0.11389225792409476,0.0012689333940102492
0.25,6,1024,2.15,0.09915764878575746,0.001152962686175093
0.25,6,1024,2.175,0.08742166100236401,0.0010743423584977736
0.25,6,1024,2.2,0.076474439214166,0.0010213261256593617
0.25,6,1024,2.225,0.06576616646044965,0.0009245738316969453
0.25,6,1024,2.25,0.056367245178560364,0.0008939355630430393
0.25,6,1024,2.275,0.04932914302635304,0.0008507364204481305
0.25,6,1024,2.3,0.044238641849078886,0.0007715986000234883
0.25,6,1024,2.325,0.03815027151517729,0.0007242328348646429
0.25,6,1024,2.35,0.03405304398372087,0.0006828890859604763
0.25,6,1024,2.375,0.02945034337490005,0.0006569171238811117
0.25,6,1024,2.4,0.026189738292972345,0.0005982780664274187
0.25,6,1024,2.425,0.024338179279995674,0.000599377493682802
0.25,6,1024,2.45,0.02179422456992484,0.000576761737671705
0.25,6,1024,2.475,0.020088472914006613,0.0005480877381771202
0.25,6,1024,2.5,0.01689907094668994,0.0005315200772501089
