Sigma,N,Delta,Delta_err
0.784,64,0.2577107607950651,0.00767322623886071
0.784,128,0.29130434782608694,0.007587491628637338
0.784,256,0.31828153564899453,0.007628024148089604
0.784,512,0.32744382561935853,0.007930026050340917
0.784,1024,0.3356285310734463,0.007697821100491398
