N,b,r,C4_mean,C4_sem,alpha_mean,alpha_sem
67108864,10,0,1.0,0.0,,
67108864,10,1,0.2167324703,2.60800457843e-06,-0.483682519956,0.000168175788589
67108864,10,3,0.122085834399,2.71545437284e-06,-0.558088650369,7.79694335094e-05
67108864,10,7,0.0745972960248,2.83368768975e-06,-0.602802628949,4.48702823297e-05
67108864,10,15,0.0464583620822,2.81921223065e-06,-0.640842156515,0.000100603400401
67108864,10,31,0.0287512048238,2.81716005281e-06,-0.682253393034,9.39015622761e-05
67108864,10,63,0.0174509538512,2.71500196186e-06,-0.726239114204,0.000166691793578
67108864,10,127,0.0103231409086,2.68501724722e-06,-0.771820259392,0.000277878792438
67108864,10,255,0.00592617112141,2.58206456439e-06,-0.819113389209,0.000449960539417
67108864,10,511,0.0032995776436,2.56972476415e-06,-0.865846143439,0.000627820878669
67108864,10,1023,0.00178344948107,2.51618603926e-06,-0.909898448607,0.0012026931074
67108864,10,2047,0.000936112394452,2.54329996366e-06,-0.95174435157,0.00203201281402
67108864,10,4095,0.000475293455411,2.57755376929e-06,-0.991750564311,0.0042740375688
67108864,10,8191,0.000234245372866,2.57920649646e-06,-1.02670876555,0.008104676779
67108864,10,16383,0.000117110818052,2.53602231807e-06,-1.05199888864,0.0224198429091
67108864,10,32767,5.74509920387e-05,2.5355329129e-06,-1.0745382925,0.059966072854
67108864,10,65535,2.59925047192e-05,2.56160957125e-06,,
67108864,10,131071,1.49785001524e-05,2.50755240102e-06,,
67108864,10,262143,5.54243153727e-06,2.57092962948e-06,,
67108864,10,524287,4.29084069191e-07,2.56606414428e-06,,
67108864,10,1048575,3.06882139758e-06,2.56627402588e-06,,
67108864,10,2097151,1.08922074324e-06,2.5591262364e-06,,
67108864,10,4194303,-3.04261608065e-06,2.52152712468e-06,,
67108864,10,8388607,-2.76333436818e-06,2.53523708207e-06,,
67108864,10,16777215,3.5336416893e-07,2.49456204533e-06,,
67108864,10,33554431,-3.86682262102e-06,3.23293979098e-06,,
