sigma,z,L,T,mean,sem
0.375,6,8192,1.975,0.2764254448012084,0.002822902798525223
0.375,6,8192,1.988,0.2511027079477663,0.002723489314234744
0.375,6,8192,2.0,0.22695591780180105,0.002609340870109725
0.375,6,8192,2.013,0.2037520436764702,0.0025029922569975607
0.375,6,8192,2.025,0.1808643169452791,0.002392312843252301
0.375,6,8192,2.0380000000000003,0.15975962571439375,0.00227685501710724
0.375,6,8192,2.05,0.1405237564774754,0.0021332620308372264
0.375,6,8192,2.062,0.12231166302817545,0.0020311934943734898
0.375,6,8192,2.075,0.10591356069546998,0.0019186131227729218
0.375,6,8192,2.087,0.09097373941587897,0.0017801184628823414
0.375,6,8192,2.1,0.07795379617273024,0.001682914159236809
0.375,6,8192,2.16,0.035479540995389434,0.0010960013620491768
0.375,6,8192,2.22,0.016378032988372808,0.0006678830558352821
0.375,6,8192,2.28,0.008743556185701148,0.0004724955472073848
0.375,6,8192,2.35,0.00489113759837345,0.00039259012974626864
0.375,6,8192,2.42,0.003532297947259138,0.0003819259911459009
0.375,6,8192,2.48,0.0017518021925216811,0.0003874865284873895
0.375,6,8192,2.55,0.0015830538489232215,0.0003743286708697148
0.375,6,8192,2.63,0.001332251233652789,0.000373612080338592
0.375,6,8192,2.7,0.0012621185552016802,0.0003805468584658279
0.375,6,8192,2.78,0.0005904379769110515,0.00037597482388343885
0.375,6,8192,2.86,0.00029554747825755423,0.0003835544957593884
0.375,6,8192,2.94,0.00030172488740556983,0.0003772781604164842
0.375,6,8192,3.02,0.00027103758418812985,0.0003844526757789856
0.375,6,8192,3.11,0.0008943072992836195,0.0003712969917651358
0.375,6,8192,3.2,-0.0002590548536047322,0.00038679233800677053
0.375,6,8192,3.29,0.0008459099418574909,0.0003692137501800395
0.375,6,8192,3.38,0.000931925077881691,0.00038104857205840487
0.375,6,8192,3.48,0.00037093573963840464,0.0003744267418898845
0.375,6,8192,3.58,0.00016254109345731831,0.0003778816245538288
0.375,6,8192,3.68,9.180846786768913e-05,0.00037739276314807386
0.375,6,8192,3.78,0.0004356160680253128,0.0003864311817932826
0.375,6,8192,3.89,-8.534175256957759e-05,0.00037545532458307457
0.375,6,8192,4.0,0.0003621116083302939,0.0003807005511739053
