L,Temp,LogSweeps,mean,sem
10,8.751978,10,0.747335844501,0.000849039074746
10,8.756058,10,0.705330314088,0.00093876630791
10,8.760138,10,0.661313453603,0.000946277285524
10,8.764219,10,0.615987973147,0.00105406661509
10,8.768299,10,0.568473019957,0.00116711364517
10,8.772379,10,0.525969280535,0.00118314445078
10,8.77646,10,0.478861536093,0.00132654553902
#10,8.77846,10,0.453094235419,0.00362305597064
10,8.78054,10,0.438706533434,0.00148683925196
10,8.784621,10,0.398514414422,0.00160345522038
10,8.788701,10,0.363407388389,0.00165428178609
10,8.792781,10,0.328056396238,0.00181681207661
10,8.796862,10,0.297717591312,0.00198247884089
10,8.800942,10,0.268682909164,0.00203183800745
10,8.805022,10,0.244863385262,0.0022056742304
10,8.809103,10,0.224284627257,0.00226088210006
