N,L,b,Tmin,Tmax,NT,Nsa
64,4,18,0.2,2,16,4891
216,6,24,0.2,2,16,4961
512,8,27,0.2,2,16,5130
1000,10,27,0.2,2,16,5027
1728,12,25,0.42,1.8,26,3257

