N,Delta,Delta_err
64,0.0,0.0
128,0.0,0.0
256,0.00216323,0.0006515318
512,0.00420926,0.0009166007000000001
1024,0.015161700000000002,0.0022429752
2048,0.060596000000000004,0.004341549
