sigma,z,L,T,mean,sem
0.375,6,4096,1.962,0.26856853371166045,0.0021033391096090827
0.375,6,4096,1.975,0.24881241646489646,0.002054048994654584
0.375,6,4096,1.988,0.2295153937492343,0.0019845439079316275
0.375,6,4096,2.0,0.21073103314214528,0.0019393822364112247
0.375,6,4096,2.013,0.19242518486227655,0.0018689362485911829
0.375,6,4096,2.025,0.17549533235374173,0.0018177393112752886
0.375,6,4096,2.0380000000000003,0.15899233595694573,0.001733260747794261
0.375,6,4096,2.05,0.14358806353437625,0.0016615840393570233
0.375,6,4096,2.062,0.12904889460891075,0.0015852123401398175
0.375,6,4096,2.075,0.11585400327469587,0.0015303464537096251
0.375,6,4096,2.087,0.10302417423093872,0.0014533679880017018
0.375,6,4096,2.1,0.0920600145340206,0.0013882275757426306
0.375,6,4096,2.19,0.03791949770380732,0.0008210648003313716
0.375,6,4096,2.28,0.016815445819991226,0.0004451771517900129
0.375,6,4096,2.37,0.009337978995114977,0.00030557957223241184
0.375,6,4096,2.47,0.0050157113325198545,0.0002788599152335836
0.375,6,4096,2.57,0.0031760039982907584,0.0002730854523710379
0.375,6,4096,2.67,0.002987598285215865,0.00027465987861124015
0.375,6,4096,2.78,0.0024910650368508308,0.0002738003893560965
0.375,6,4096,2.9,0.0015888630226998108,0.0002723209708504857
0.375,6,4096,3.02,0.0008581264498828484,0.0002687714550893293
0.375,6,4096,3.14,0.0008974652062750738,0.0002677609174258689
0.375,6,4096,3.27,0.0012997375001245655,0.0002744252189433918
0.375,6,4096,3.4,0.0013653893798913205,0.00027154013216497045
0.375,6,4096,3.54,0.0011670293939412364,0.00027113911666311503
0.375,6,4096,3.69,0.00042445041664691927,0.00027316069693316346
0.375,6,4096,3.84,0.000808704893007147,0.0002728174156506392
0.375,6,4096,4.0,0.00033762813195989963,0.00027173805671651673
