Sigma,N,Delta,Delta_err
0.6,64,0.025040064102564104,0.0022396514197714243
0.6,128,0.042291666666666665,0.002968293093494793
0.6,256,0.08083333333333333,0.004103690750748377
0.6,512,0.14795046968403075,0.005620173604222111
0.6,1024,0.21118421052631578,0.006805316074203026
