Sigma,N,Delta,Delta_err
0.6,64,0.2015224358974359,0.0063536664772250425
0.6,128,0.18854166666666666,0.006267337065204718
0.6,256,0.18833333333333332,0.006263873490988712
0.6,512,0.1797608881298036,0.006194969311932925
0.6,1024,0.1824561403508772,0.006325528553445595
