N,Delta,Delta_err
64,0.038082099999999994,0.0026885068
128,0.0594115,0.0032464987
256,0.093412,0.004080945900000001
512,0.136901,0.0048666136
1024,0.18867899999999999,0.0071816824
2048,0.241722,0.007790563
