Sigma,N,Delta,Delta_err
0.0,64,0.23125493291239146,0.006755028716899641
0.0,128,0.24556771029800076,0.0068055897973099645
0.0,256,0.24660766961651917,0.006963984743215644
0.0,512,0.27300060132291043,0.007397330963017011
0.0,1024,0.3012442698100851,0.009931729461757107
