Sigma,N,Delta,Delta_err
0.896,64,0.009230769230769232,0.001884222879063983
0.896,128,0.007835236176404746,0.001324396638258253
0.896,256,0.010317961676142346,0.0014739945251631922
0.896,512,0.011160244261949883,0.0015329774456265567
0.896,1024,0.012423668140661192,0.0016174238256198375
