sigma,L,T,mean,sem
0.25,512,0.5,19.314896046560033,0.07318681259326487
0.25,512,0.525,17.579595524959945,0.0678352057839679
0.25,512,0.55,15.896064468159986,0.06239150385490525
0.25,512,0.575,14.302701902160006,0.05734638768859675
0.25,512,0.6,12.802876171359975,0.05238461738911593
0.25,512,0.625,11.393703990480036,0.047634518127416495
0.25,512,0.65,10.07538118911996,0.04304040975894543
0.25,512,0.675,8.852796860799947,0.038692655262300486
0.25,512,0.7,7.727171468799988,0.03445289622668584
0.25,512,0.725,6.700765185599974,0.03052432753688025
0.25,512,0.75,5.765083763599965,0.026836112934325588
0.25,512,0.775,4.92392690887999,0.023360509405400014
0.25,512,0.8,4.180300145359992,0.020126871428804528
0.25,512,0.825,3.523287218159993,0.017148263582887475
0.25,512,0.85,2.9543832701599904,0.014428769799011615
0.25,512,0.875,2.464767775919998,0.011966148656923671
0.25,512,0.9,2.0524487951999992,0.009763376089470794
0.25,512,0.925,1.706323876079996,0.007838119219965167
0.25,512,0.95,1.4223832300000046,0.006193693749800829
0.25,512,0.975,1.1903349744319984,0.004811888989007514
0.25,512,1.0,1.0035399517119972,0.003673100989079736
0.25,512,1.025,0.8543531079359993,0.002786698426658614
0.25,512,1.05,0.7350400987839959,0.0020800636904656808
0.25,512,1.075,0.6406484050399971,0.001542110073580175
0.25,512,1.1,0.5652348251520022,0.001141306953560566
0.25,512,1.125,0.5047649289119981,0.0008431247494260572
0.25,512,1.15,0.4560206506799976,0.0006244307034641213
0.25,512,1.175,0.416438212632,0.00047026687652642333
0.25,512,1.2,0.3838673840400001,0.00035587811438256804
0.25,512,1.225,0.357002211592,0.00027467623151799744
0.25,512,1.25,0.3343365289600001,0.0002147862539772056
0.25,512,1.275,0.3152402143520001,0.0001716574310022482
0.25,512,1.3,0.2988054314800012,0.0001394817865424218
0.25,512,1.325,0.28468147730400056,0.00011566116113890034
0.25,512,1.35,0.2723562095680017,9.642638225572184e-05
0.25,512,1.375,0.2617551731679995,8.313611781570279e-05
0.25,512,1.4,0.25223338389599936,7.223021182477215e-05
0.25,512,1.425,0.2437907960239999,6.427901905756936e-05
0.25,512,1.45,0.23630963922400045,5.822820035378756e-05
0.25,512,1.475,0.2294880782719998,5.2477028621759706e-05
0.25,512,1.5,0.223453212656,4.8697770319778246e-05
0.25,512,1.525,0.21804166941599948,4.55097940908236e-05
