L,Temp,LogSweeps,mean,sem
28,8.773679,10,0.940790517623,0.000555765597304
28,8.77399,10,0.931629837405,0.000685094484043
28,8.774301,10,0.919518709751,0.000778732548709
28,8.774612,10,0.902247262191,0.000830666422647
28,8.774923,10,0.884326483003,0.00109022518864
28,8.775234,10,0.859967977505,0.00113377972083
28,8.775545,10,0.830982738138,0.00127563579427
28,8.775856,10,0.801233610041,0.00157634355063
28,8.776167,10,0.762312992869,0.00183686801726
28,8.776478,10,0.722873952334,0.00184888798861
28,8.776789,10,0.681335744752,0.00200181093314
28,8.7771,10,0.632366365203,0.00233702655701
28,8.777411,10,0.592427115918,0.00239959981151
28,8.777722,10,0.541963742419,0.00234638558437
28,8.778033,10,0.497645856184,0.00257950229113
28,8.778344,10,0.456246519738,0.00253320849927
#28,8.77846,10,0.437333678361,0.00382133053815
28,8.778656,10,0.418678103014,0.00281769315152
28,8.778967,10,0.375636488441,0.00330169631151
28,8.779278,10,0.33430797583,0.00353709473205
28,8.779589,10,0.311131309298,0.00400123555431
28,8.7799,10,0.275529479543,0.00434185427209
28,8.780211,10,0.254249876804,0.00408512118067
28,8.780522,10,0.228390035064,0.00446522804729
28,8.780833,10,0.20374242724,0.00523174756372
28,8.781144,10,0.18436150956,0.0057176449867
28,8.781455,10,0.170736070055,0.00507953006575
28,8.781766,10,0.155941548904,0.00499177354489
28,8.782077,10,0.13807140593,0.00626206074107
28,8.782388,10,0.125162922335,0.00557295040585
28,8.782699,10,0.111126870243,0.00562121288132
28,8.78301,10,0.10022948063,0.00563756873368
28,8.783321,10,0.0966691742645,0.00682098127053
