L,T,chi,chi_err
36,8.437000000000001,0.497303580782592,
36,8.461,0.5524761849384959,
36,8.485,0.6231843636940799,
36,8.509,0.72427836801024,
36,8.533999999999999,0.8116042240512,
36,8.558,0.9427075365469091,0.007948312212883937
36,8.582,1.1362998495006722,0.005593544927680796
36,8.606,1.4004666761472002,0.004010404253634768
36,8.63,1.80180924393024,0.006156588016971433
36,8.655,2.5054881084748803,0.010031910186297231
36,8.679,3.7324516905388796,0.012301244976983292
36,8.703,6.21272348885952,0.01627112509680828
36,8.721419000000001,10.495204943166721,0.031021189217358938
36,8.721967,10.70064127035648,0.032637989871937584
36,8.722515,10.910790482469123,0.03270087593193415
36,8.723063,11.076247405497599,0.0352699243630844
36,8.723611,11.347438507188485,0.033848602679305624
36,8.724159,11.60772400495872,0.03599866148116269
36,8.724707,11.87630795630592,0.03601862058828042
36,8.725255,12.104938277199357,0.03782545589039092
36,8.725802999999999,12.382317865255681,0.042900627914909915
36,8.726351,12.630130929319684,0.04126969642345103
36,8.726899000000001,12.927614840651527,0.03737890009624264
36,8.727,12.949849941580801,0.040353990817261716
36,8.727447999999999,13.18523332656384,0.04255781113590385
36,8.727996000000001,13.554948544508159,0.04176615608265684
36,8.728544,13.763078791004157,0.0453248942087462
36,8.729092,13.955553059627519,0.04917091223912992
36,8.72964,14.04295449838848,0.04302846575949719
36,8.730188,14.003222703217919,0.045509934194811016
36,8.730736,14.059738548357116,0.045662740825267625
36,8.731284,13.938946477885434,0.04349395015008952
36,8.731832,13.806111812636154,0.042297314369000465
36,8.732380000000001,13.741645647928314,0.04862925035687687
36,8.732928,13.546597712106244,0.043011921915950636
36,8.733477,13.390581297553913,0.04125050914519154
36,8.734025,13.300088903458562,0.03948343241230266
36,8.734573,13.087554754199042,0.04035748157759295
36,8.735121000000001,12.90360583847808,0.040678460979058806
36,8.735669,12.675381245625598,0.038950403974938035
36,8.736217,12.507552688008952,0.03639945262585223
36,8.736765,12.369007823846399,0.04046722567394263
36,8.737313,12.130517510380797,0.03722837062771564
36,8.737861,11.9247220141056,0.03097164116107475
36,8.738408999999999,11.79920942485632,0.03589972313428469
36,8.752,8.626148506137602,0.02366267417951869
36,8.776,5.72472179280576,0.01748585375041132
36,8.77846,5.570070687329632,0.01848333470035689
36,8.8,4.304494670277843,0.013770891828848612
36,8.824,3.4295704805844625,0.009424924772973969
36,8.847999999999999,2.845124613605377,0.006869405013216832
36,8.873,2.425306072684181,0.00649841619615846
36,8.897,2.1266462281840943,0.005365429733351389
36,8.921,1.876878401227048,0.004543362578124321
36,8.945,1.6990003553410715,0.0047032160135646464
36,8.969,1.5426936406944003,0.004492495343130947
36,8.994,1.4101638383462396,0.003434713045576869
36,9.017999999999999,1.2960028036627198,0.003396354998757141
36,9.042,1.2067434282700802,0.003261071660759618
