sigma,z,L,T,mean,sem
0.25,6,4096,1.9,0.3858744525612189,0.0032176010044548896
0.25,6,4096,1.925,0.34418057658198875,0.0031287680582092587
0.25,6,4096,1.95,0.30239065462145104,0.003011509533942691
0.25,6,4096,1.975,0.26206084167783084,0.002852801590473789
0.25,6,4096,2.0,0.22288327686300016,0.002664547485522137
0.25,6,4096,2.025,0.18577035100797945,0.002449453485492065
0.25,6,4096,2.05,0.15200554164698904,0.002234745731616353
0.25,6,4096,2.075,0.12276470335566453,0.0020342780159981907
0.25,6,4096,2.1,0.09757198882679168,0.0018405669381650425
0.25,6,4096,2.125,0.07600614013699311,0.0016602240724807164
0.25,6,4096,2.15,0.0588401816581068,0.0015118772987446358
0.25,6,4096,2.175,0.0451903299845053,0.0013015208815876787
0.25,6,4096,2.2,0.035320877886694614,0.0011842156656331551
0.25,6,4096,2.225,0.02663917868584833,0.0010402993229104366
0.25,6,4096,2.25,0.0224158578957854,0.0008825337155027582
0.25,6,4096,2.275,0.01849273055862688,0.0007506187179025153
0.25,6,4096,2.3,0.014358382449804847,0.0007182643458793809
0.25,6,4096,2.325,0.011015428834211131,0.0006706100194358228
0.25,6,4096,2.35,0.00930434645831754,0.0006068434718235204
0.25,6,4096,2.375,0.008357704589464712,0.0005866767328653844
0.25,6,4096,2.4,0.0075107233585994925,0.000569041336827039
0.25,6,4096,2.425,0.006439097869760023,0.0005439272403825514
0.25,6,4096,2.45,0.006086629720415556,0.0005492274562265244
0.25,6,4096,2.475,0.005392920714548302,0.0005407243958437908
0.25,6,4096,2.5,0.005046206575980754,0.0005445365363545786
