L,Temp,mean,sem
36,8.558,2122997.562509498,146.9828101772561
36,8.582,1704406.710240461,133.83518408848994
36,8.606,1311020.0697599996,120.96500899178713
36,8.63,949188.9231302402,114.44384506307036
36,8.655,614394.5846457601,125.55883716686097
36,8.679,344349.14692896005,68.81215134347137
36,8.703,138674.54521440002,56.21418086771797
36,8.721419000000001,34541.66175558912,40.97056872690377
36,8.721419000000001,34541.66175558911,40.97056872711591
36,8.721967,32223.639577962247,40.618193841394124
36,8.721967,32223.639577962247,40.618193841465455
36,8.722515,29888.996079962883,36.65336317115303
36,8.722515,29888.996079962886,36.653363171073984
36,8.723063,27660.84175641599,37.49428316125739
36,8.723063,27660.84175641599,37.49428316120587
36,8.723611,25498.05718899456,36.43499634733135
36,8.723611,25498.05718899456,36.43499634739762
36,8.724159,23366.668700885755,42.8029319515289
36,8.724159,23366.66870088575,42.80293195159658
36,8.724707,21256.874120298246,37.17185402179574
36,8.724707,21256.874120298256,37.17185402175677
36,8.725255,19217.98633473792,35.68525500121625
36,8.725255,19217.98633473792,35.685255001229784
36,8.725802999999999,17105.482113638398,39.27510631010752
36,8.725802999999999,17105.4821136384,39.275106310107525
36,8.726351,15041.855196829434,33.07753424985457
36,8.726351,15041.855196829438,33.07753424981807
36,8.726899000000001,13087.047367399675,32.91706349101203
36,8.726899000000001,13087.047367399678,32.91706349098269
36,8.727447999999999,11219.631302142718,36.01230888253469
36,8.727447999999999,11219.631302142725,36.01230888253468
36,8.727996000000001,9424.202713643517,28.801120281872603
36,8.727996000000001,9424.202713643515,28.801120281872606
36,8.728544,7825.887736704002,30.555251885300372
36,8.728544,7825.887736703999,30.555251885316178
36,8.729092,6479.8893521752325,26.33483988647249
36,8.729092,6479.889352175231,26.334839886478218
36,8.72964,5295.913396761602,23.15564493724345
36,8.72964,5295.913396761599,23.155644937251267
36,8.730188,4422.648835084032,21.192381385516548
36,8.730188,4422.648835084032,21.19238138551441
36,8.730736,3645.4381422969586,16.360475717433506
36,8.730736,3645.4381422969605,16.360475717431658
36,8.731284,3061.2557016794885,18.639348512530848
36,8.731284,3061.255701679489,18.639348512529637
36,8.731832,2583.6627035508477,17.753352645005453
36,8.731832,2583.662703550848,17.75335264500588
36,8.732380000000001,2195.950287632256,12.639252940538471
36,8.732380000000001,2195.9502876322554,12.639252940539965
36,8.732928,1913.2230558539518,11.17189071175584
36,8.732928,1913.223055853952,11.171890711755164
36,8.733477,1685.965642161408,9.125309952119345
36,8.733477,1685.9656421614072,9.125309952120585
36,8.734025,1486.254312981504,10.658130207346487
36,8.734025,1486.2543129815035,10.658130207346842
36,8.734573,1335.2842769875201,7.458256064210454
36,8.734573,1335.28427698752,7.45825606421096
36,8.735121000000001,1202.750446080384,8.33983239341652
36,8.735121000000001,1202.750446080384,8.339832393416518
36,8.735669,1087.1846712737279,6.448850867038924
36,8.735669,1087.1846712737283,6.4488508670379
36,8.736217,1003.1869793756161,8.261076963521479
36,8.736217,1003.1869793756163,8.261076963520907
36,8.736765,913.2866549591039,5.860948511897179
36,8.736765,913.2866549591037,5.860948511897501
36,8.737313,845.7281895444479,5.747670000906113
36,8.737313,845.7281895444479,5.747670000906112
36,8.737861,789.6870567947519,5.7186100490876655
36,8.737861,789.6870567947519,5.7186100490874185
36,8.738408999999999,735.6538697011199,5.464375540838104
36,8.738408999999999,735.6538697011198,5.464375540838104
36,8.743,475.94919558810767,3.1835255852722
36,8.748,344.8474607098996,2.186711697622627
36,8.752,282.19008176352014,1.7195763750867867
36,8.76,211.17746073610462,1.5350901773554837
36,8.769,164.7185307006372,0.9984029519956952
36,8.776,141.50092827628802,0.9482910192386244
36,8.8,99.9524930421084,0.5896881776206485
36,8.824,77.5615463242804,0.387803806075264
36,8.847999999999999,63.141566051266565,0.3821772524876134
36,8.873,54.231540971302,0.2763891755428036
36,8.897,47.227425190353316,0.2417066424167208
36,8.921,42.260670537753604,0.21949765468519966
36,8.945,37.91285005598503,0.2387511407215395
36,8.969,34.962006411244786,0.2032581931979308
36,8.994,31.965107725267192,0.2185671678269888
36,9.017999999999999,29.474164679846396,0.1905362731371404
36,9.042,27.55749876307199,0.18810456938654874
