sigma,L,T,mean,sem
0.0,1024,0.75,8.499915321466824,0.038545688461176064
0.0,1024,0.775,7.151682390473425,0.033324758526497314
0.0,1024,0.8,5.9463512015972295,0.02845900620266016
0.0,1024,0.825,4.889106234612038,0.023908671638958708
0.0,1024,0.85,3.974890216698781,0.01976104216964169
0.0,1024,0.875,3.1973795668674088,0.01598633678034511
0.0,1024,0.9,2.549363066388964,0.012655300435949177
0.0,1024,0.925,2.020449723592137,0.009757793907510387
0.0,1024,0.95,1.5987298980742266,0.007342561910139044
0.0,1024,0.975,1.268806939004143,0.005356200441112164
0.0,1024,1.0,1.0155523641634243,0.0038184005450086185
0.0,1024,1.025,0.823250657255504,0.002649157217400959
0.0,1024,1.05,0.6794633274961396,0.0018063359574176047
0.0,1024,1.075,0.5714995147387042,0.001213521705566259
0.0,1024,1.1,0.490253546540506,0.0008143379496653025
0.0,1024,1.125,0.4287055618263288,0.0005488778872085545
0.0,1024,1.15,0.3812306981045174,0.00037930107931185696
0.0,1024,1.175,0.3440592548145526,0.00026555377723277464
0.0,1024,1.2,0.3143402578511131,0.0001907220352110847
0.0,1024,1.225,0.2903098116112265,0.00014153288461451498
0.0,1024,1.25,0.2706341611329135,0.00010817968571644964
0.0,1024,1.275,0.2541527722635615,8.594328834323706e-05
0.0,1024,1.3,0.2402886243271046,6.96432494976682e-05
0.0,1024,1.325,0.2284673863271178,5.8598721734681944e-05
0.0,1024,1.35,0.21822043339536412,5.0699317302286764e-05
0.0,1024,1.375,0.20930543604934945,4.534067966434721e-05
0.0,1024,1.4,0.20150689104621705,4.0373754221450026e-05
0.0,1024,1.425,0.1946249406948633,3.729202212309872e-05
0.0,1024,1.45,0.18852591247984868,3.465212011039414e-05
0.0,1024,1.475,0.18302743601532906,3.308771995165528e-05
0.0,1024,1.5,0.17811012590886105,3.127153276418936e-05
