sigma,z,L,T,mean,sem
0.0,6,4096,1.9,2.64812647264,0.01873281785621833
0.0,6,4096,1.925,2.287608022399997,0.015962698925070105
0.0,6,4096,1.95,1.9734334989439977,0.013475257432684578
0.0,6,4096,1.975,1.7029529644800014,0.01128497928737017
0.0,6,4096,2.0,1.4709779934719969,0.009328722840533777
0.0,6,4096,2.025,1.2735434226560032,0.0076747846620005234
0.0,6,4096,2.05,1.1065741909760027,0.0062444194076384215
0.0,6,4096,2.075,0.9659550768640028,0.00503504852705908
0.0,6,4096,2.1,0.8477001303679991,0.004041674429949639
0.0,6,4096,2.125,0.7484134821759995,0.0032150980008725785
0.0,6,4096,2.15,0.6653775768959999,0.0025574707006859273
0.0,6,4096,2.175,0.5950345550079994,0.0020255739869388754
0.0,6,4096,2.2,0.5370048234239985,0.001607359916694618
0.0,6,4096,2.225,0.4874808145280002,0.0012743507450151605
0.0,6,4096,2.25,0.44543704806400003,0.001010421746030069
0.0,6,4096,2.275,0.4097983493760004,0.0008080310381407195
0.0,6,4096,2.3,0.3792048798079993,0.0006533145185703045
0.0,6,4096,2.325,0.3526379959040004,0.0005356827523384201
0.0,6,4096,2.35,0.329925296960001,0.00043856495400809936
0.0,6,4096,2.375,0.3098628822207999,0.00037088485001852815
0.0,6,4096,2.4,0.29238444211199954,0.0003133170689803643
0.0,6,4096,2.425,0.2770543142143994,0.0002671457393407357
0.0,6,4096,2.45,0.2632001047935996,0.0002306275559992984
0.0,6,4096,2.475,0.2509494630847997,0.00020529994751425847
0.0,6,4096,2.5,0.24015654598399966,0.00018107135084962533
