L,Temp,LogSweeps,mean,sem
14,8.751228,10,0.944986845383,0.000235078767531
14,8.752988,10,0.935010126723,0.000288009651789
14,8.754747,10,0.923155004818,0.000328065294971
14,8.756507,10,0.909822634718,0.0003842768036
14,8.758266,10,0.890449078958,0.000471968864617
14,8.760026,10,0.868679639431,0.000555448834546
14,8.761785,10,0.842739477616,0.000666110520185
14,8.763545,10,0.812825231963,0.000714587609528
14,8.765304,10,0.778379737648,0.000810962658281
14,8.767064,10,0.737952152412,0.000867156257125
14,8.768823,10,0.697493118097,0.000954293747409
14,8.770582,10,0.652565409832,0.00105532043281
14,8.772342,10,0.60697539688,0.0010740133734
14,8.774101,10,0.561682927205,0.00114918957487
14,8.775861,10,0.513317589724,0.00132404063711
14,8.77762,10,0.473351692223,0.00139094806968
#14,8.77846,10,0.449578611478,0.00355255308807
14,8.77938,10,0.431409606623,0.00148556539772
14,8.781139,10,0.391197133123,0.00152537778281
14,8.782899,10,0.352037815212,0.00175062195534
14,8.784658,10,0.321355900936,0.00184950119648
14,8.786418,10,0.287616037536,0.00197858528719
14,8.788177,10,0.264508881336,0.00198995949476
14,8.789936,10,0.238416214851,0.00218769722685
14,8.791696,10,0.215292490913,0.00223682746495
14,8.793455,10,0.193935293947,0.00234688025313
14,8.795215,10,0.1764111988,0.00257067870368
14,8.796974,10,0.163990953204,0.00251961562568
14,8.798734,10,0.146657654375,0.00264004196067
14,8.800493,10,0.133590685652,0.00283851367773
14,8.802253,10,0.12256457526,0.00275962208306
14,8.804012,10,0.11589802662,0.00295363255986
14,8.805772,10,0.104004899864,0.00279233240481
