sigma,L,T,mean,sem
0.25,2048,0.75,12.638467009357814,0.07628602846522024
0.25,2048,0.775,10.469290125185662,0.06533376528711295
0.25,2048,0.8,8.527140800982123,0.05497953320508802
0.25,2048,0.825,6.848222577830168,0.045794491869486455
0.25,2048,0.85,5.396583256115676,0.03711558008830383
0.25,2048,0.875,4.18336382572904,0.02942032602141533
0.25,2048,0.9,3.186500656206788,0.022601192464794514
0.25,2048,0.925,2.393386156579227,0.016764327797659944
0.25,2048,0.95,1.7820391629932406,0.011848859805430616
0.25,2048,0.975,1.3256333539245757,0.008056670481228205
0.25,2048,1.0,0.9965142595657608,0.005226967024271639
0.25,2048,1.025,0.7641086963575342,0.003248737632739565
0.25,2048,1.05,0.6019918925964923,0.0019795133875863077
0.25,2048,1.075,0.4892168034770572,0.001182448370754499
0.25,2048,1.1,0.40946129246550295,0.0007076718675682223
0.25,2048,1.125,0.3523389518701199,0.00044211213449527986
0.25,2048,1.15,0.30981994794964585,0.0002812528534094145
0.25,2048,1.175,0.27756685714532703,0.00019120209069835425
0.25,2048,1.2,0.2524237829269298,0.00013353145820893926
0.25,2048,1.225,0.23239765110562016,0.00010041048930575604
0.25,2048,1.25,0.2161469369360564,7.986396749867271e-05
0.25,2048,1.275,0.20267217004619004,6.498115918712901e-05
0.25,2048,1.3,0.19142180130928133,5.659376666241052e-05
0.25,2048,1.325,0.18190882306016312,4.921494891009584e-05
0.25,2048,1.35,0.17359962527070352,4.5543465850890694e-05
0.25,2048,1.375,0.16643918886989176,4.1209854149989214e-05
0.25,2048,1.4,0.16022969876997106,3.899051299408494e-05
0.25,2048,1.425,0.15467211345159054,3.724505097833408e-05
0.25,2048,1.45,0.14974907680681215,3.515508895538493e-05
0.25,2048,1.475,0.14542558728947128,3.362779761624033e-05
0.25,2048,1.5,0.14145553374806394,3.339947925176348e-05
