T,N,Delta,Delta_err
0.4,64,0.0486608,0.0030765110999999997
0.4,216,0.054244799999999996,0.0032164097999999998
0.4,512,0.0753089,0.0036955492
0.4,1000,0.07745919999999999,0.0037721673
0.4,1728,0.0825913,0.0048232492
