Sigma,N,Delta,Delta_err
0.896,64,0.01653846153846154,0.002522091740116154
0.896,128,0.01029773897470338,0.001518318778402791
0.896,256,0.014318803958728154,0.0017364100339514257
0.896,512,0.017477363655506423,0.001918389888217372
0.896,1024,0.018109075594862075,0.001952751841544684
