d,L,Q,Av,Median
4,8,0.0,0.000413949,2.02656e-06
4,8,0.00048828099999999997,0.000591383,6.19888e-06
4,8,0.0009765619999999999,0.0007688969999999999,1.0371199999999998e-05
4,8,0.00146484,0.0009464839999999999,1.47223e-05
4,8,0.00195312,0.00112391,1.88947e-05
4,8,0.00244141,0.00130132,2.34842e-05
4,8,0.00292969,0.00147885,2.79546e-05
4,8,0.00341797,0.00165645,3.21269e-05
4,8,0.00390625,0.00183393,3.63588e-05
4,8,0.00439453,0.00201126,4.09484e-05
4,8,0.00488281,0.00218882,4.4763100000000005e-05
4,8,0.00537109,0.00236625,4.92334e-05
4,8,0.00585938,0.00254363,5.3525e-05
4,8,0.00634766,0.00272116,5.7578100000000004e-05
4,8,0.00683594,0.00289852,6.1214e-05
4,8,0.00732422,0.00307603,6.58035e-05
4,8,0.0078125,0.00325327,7.01546e-05
4,8,0.00830078,0.00343072,7.50422e-05
4,8,0.00878906,0.00360809,7.9155e-05
4,8,0.00927734,0.00378554,8.380409999999999e-05
4,8,0.00976562,0.00396291,8.85129e-05
4,8,0.0102539,0.00414037,9.256600000000001e-05
4,8,0.0107422,0.00431779,9.715559999999999e-05
4,8,0.011230500000000001,0.00449509,0.00010091
4,8,0.011718799999999998,0.00467242,0.000106334
4,8,0.012206999999999999,0.00484977,0.00011098299999999999
4,8,0.0126953,0.00502717,0.000115633
4,8,0.013183600000000002,0.00520444,0.000119686
4,8,0.013671899999999999,0.00538155,0.000124335
4,8,0.0141602,0.00555879,0.000129342
4,8,0.0146484,0.00573612,0.00013393200000000002
4,8,0.015136700000000001,0.00591332,0.000137806
4,8,0.015625,0.00609052,0.000143052
4,8,0.016113299999999997,0.00626763,0.000147104
4,8,0.016601599999999998,0.00644485,0.000151932
4,8,0.0170898,0.00662207,0.000158131
4,8,0.0175781,0.00679924,0.000162542
4,8,0.018066400000000003,0.0069764,0.00016742900000000003
4,8,0.0185547,0.00715351,0.000171959
4,8,0.019043,0.00733047,0.000177026
4,8,0.019531200000000002,0.00750774,0.000182271
4,8,0.0200195,0.00768479,0.000187337
4,8,0.0205078,0.00786192,0.00019157
4,8,0.020996099999999997,0.00803896,0.000196934
4,8,0.0214844,0.00821588,0.00020188099999999997
4,8,0.0219727,0.0083929,0.00020611299999999998
4,8,0.022460900000000002,0.00856989,0.00021052400000000002
4,8,0.022949200000000003,0.00874671,0.00021511299999999998
4,8,0.0234375,0.008923799999999999,0.00021994099999999997
4,8,0.023925799999999997,0.00910068,0.000223875
4,8,0.024414099999999998,0.00927757,0.00022894099999999998
4,8,0.0249023,0.00945431,0.00023412700000000002
4,8,0.0253906,0.00963112,0.000238955
4,8,0.0258789,0.009807999999999999,0.000243366
4,8,0.026367200000000004,0.00998479,0.000247479
4,8,0.0268555,0.0101614,0.000251591
4,8,0.027343799999999998,0.0103381,0.000256002
4,8,0.027832,0.0105148,0.00026232
4,8,0.028320299999999996,0.010691500000000001,0.000267983
4,8,0.0288086,0.010868000000000001,0.000274002
4,8,0.0292969,0.011044700000000001,0.00027948599999999996
4,8,0.029785200000000005,0.0112213,0.00028485
4,8,0.030273400000000002,0.0113979,0.00029104900000000004
4,8,0.030761700000000003,0.0115746,0.000296831
4,8,0.03125,0.0117511,0.000302792
4,8,0.0317383,0.0119274,0.000307501
4,8,0.032226599999999994,0.0121038,0.00031220900000000003
4,8,0.032714799999999995,0.0122804,0.00031668
4,8,0.0332031,0.0124568,0.00032156700000000003
4,8,0.033691399999999996,0.0126333,0.000326574
4,8,0.03417969999999999,0.0128097,0.000332117
4,8,0.034668,0.0129862,0.00033754099999999996
4,8,0.0351562,0.0131626,0.000343084
4,8,0.0356445,0.0133389,0.000349939
4,8,0.03613280000000001,0.013515200000000002,0.00035727
4,8,0.036621100000000004,0.013691499999999999,0.000363767
4,8,0.0371094,0.0138678,0.000368893
4,8,0.0375977,0.0140439,0.00037330400000000003
4,8,0.038085900000000006,0.0142201,0.000378906
4,8,0.038574199999999996,0.014396200000000001,0.000383735
4,8,0.0390625,0.0145724,0.00039023199999999996
4,8,0.039550800000000004,0.014748599999999999,0.000396609
4,8,0.040039099999999994,0.0149247,0.00040334400000000003
4,8,0.0405273,0.015100799999999998,0.00040960300000000003
4,8,0.0410156,0.015276900000000001,0.00041627900000000003
4,8,0.041503899999999996,0.015453,0.000421941
4,8,0.04199219999999999,0.015628899999999998,0.000427723
4,8,0.0424805,0.0158048,0.00043445800000000003
4,8,0.0429688,0.0159808,0.00043994199999999997
4,8,0.043457,0.0161569,0.000444948
4,8,0.04394530000000001,0.0163328,0.00045198199999999997
4,8,0.044433600000000004,0.016508900000000003,0.000458419
4,8,0.0449219,0.016684900000000003,0.000463843
4,8,0.0454102,0.0168609,0.000469744
4,8,0.045898400000000006,0.017036700000000002,0.000477731
4,8,0.046386699999999996,0.017212599999999998,0.00048494300000000005
4,8,0.046875,0.017388499999999998,0.000491441
4,8,0.047363300000000004,0.0175642,0.000499606
4,8,0.047851599999999994,0.017740099999999998,0.000508248
4,8,0.0483398,0.0179158,0.000516593
4,8,0.0488281,0.0180915,0.000522852
4,8,0.049316399999999996,0.0182673,0.000530839
