T,N,Delta,Delta_err
0.5,256,0.06211559999999999,0.0042325269
0.5,625,0.0778267,0.0041910361
0.5,1296,0.102377,0.0052915012
0.5,2401,0.124708,0.0050536641999999994
0.5,4096,0.149642,0.0064339209999999996
0.5,6561,0.145847,0.006433293100000001
