Sigma,N,Q,Mean,Mean_err,Median,Median_err
0.896,256,0.0,0.0,0.0,0.0,0.0
0.896,256,0.0078125,0.0013993051692468852,7.089846339255574e-05,4.019101533614197e-06,5.704381655846355e-07
0.896,256,0.015625,0.0027997542638196413,0.0001406043962134486,8.299896076878375e-06,1.1560927829962146e-06
0.896,256,0.0234375,0.004201711578047805,0.0002081817877326196,1.3047853937403606e-05,1.7271343616747252e-06
0.896,256,0.03125,0.005604348009217938,0.0002730946808021269,1.8396460953017467e-05,2.585656716903554e-06
0.896,256,0.0390625,0.007005787909330891,0.00033516451864711044,2.4522284755839947e-05,3.490329568308837e-06
0.896,256,0.046875,0.008404295405975877,0.00039439522374892365,3.1467407191344684e-05,4.301150567839524e-06
0.896,256,0.0546875,0.009798821529432214,0.00045079969729955923,3.885967536373983e-05,5.472582324472523e-06
0.896,256,0.0625,0.01118905702546758,0.0005044126823079307,4.6832017563434615e-05,6.161180557498258e-06
0.896,256,0.0703125,0.01257566186543127,0.0005553412341943016,5.6069127766627744e-05,7.1559745444592195e-06
0.896,256,0.078125,0.013961720975240156,0.0006038529220841746,6.606704843588932e-05,7.974424784434165e-06
0.896,256,0.0859375,0.015352831787733825,0.0006503946800926741,7.684934762075225e-05,9.248364200039976e-06
0.896,256,0.09375,0.01675495652864789,0.000695466442264321,8.935368537603201e-05,9.663873876288266e-06
0.896,256,0.1015625,0.01817233347132261,0.0007395109184467113,0.00010473046837013759,1.0042303327926888e-05
0.896,256,0.109375,0.01960582623139661,0.000782851859501458,0.00012131010033701035,1.1228831534364085e-05
0.896,256,0.1171875,0.021052375238820465,0.0008256488591528585,0.00014058663868211433,1.3141442478787824e-05
0.896,256,0.125,0.022505693883241664,0.0008678421185935939,0.0001636864271095615,1.573449414957018e-05
0.896,256,0.1328125,0.023957756270125728,0.0009091749607370726,0.00019004299272571646,2.2358582331498623e-05
0.896,256,0.140625,0.025402262942703677,0.0009493376515618198,0.0002165605296812452,2.6008564879207377e-05
0.896,256,0.1484375,0.026837735411787328,0.0009881643080810413,0.00024754233610092537,2.926497467649729e-05
0.896,256,0.15625,0.02826766928144723,0.0010257430288473496,0.0002806361051563779,3.296952377262542e-05
0.896,256,0.1640625,0.02969676477558799,0.0010622603284816147,0.000320397721809822,3.613478102801883e-05
0.896,256,0.171875,0.031127727427425256,0.0010978500835751208,0.00037015270195256964,4.2164311887601986e-05
0.896,256,0.1796875,0.03256167710851248,0.001132591862616807,0.00041940892592134016,4.893288306779237e-05
0.896,256,0.1875,0.03399975100401164,0.0011665468153516417,0.0004698967862391148,5.767228487783712e-05
0.896,256,0.1953125,0.03544427166695757,0.0011998029219050298,0.000525932888073445,5.555286778856628e-05
0.896,256,0.203125,0.03689736328575081,0.0012324392040591317,0.000590836023432948,6.269458339314379e-05
0.896,256,0.2109375,0.03836077991979311,0.0012645191798489083,0.0006661897395923199,7.124910319664514e-05
0.896,256,0.21875,0.03983627451419068,0.0012961080266711072,0.0007395227472667747,8.008678959529734e-05
0.896,256,0.2265625,0.04132583597164687,0.001327320476441508,0.0008315558828176365,8.264008434258947e-05
0.896,256,0.234375,0.042831805494595976,0.0013583499760620934,0.0009170738287187668,9.032006556319278e-05
0.896,256,0.2421875,0.04435406106113576,0.001389329121771709,0.0010184033792537146,9.966984034752088e-05
0.896,256,0.25,0.0458902340210144,0.0014202551865717362,0.0011321637209004887,0.00011278019582378635
0.896,256,0.2578125,0.04743747368125265,0.0014510344430842448,0.0012466884989455933,0.0001317428495230558
0.896,256,0.265625,0.048992846086343717,0.0014815269009291056,0.0013746429612301948,0.00014585279056358253
0.896,256,0.2734375,0.05055402970716056,0.0015115768297805452,0.0015080791098524113,0.00015953043165485155
0.896,256,0.28125,0.052120552014194674,0.001541053705904874,0.0016576628605152236,0.00016962096164130374
0.896,256,0.2890625,0.053693609021729365,0.001569896102616979,0.001819719114211765,0.00018518430331420887
0.896,256,0.296875,0.05527531962235487,0.001598144801075031,0.002019951448992061,0.0001977846950058088
0.896,256,0.3046875,0.05686899352123532,0.0016259433221715077,0.002225242277006865,0.00021774141402340023
0.896,256,0.3125,0.0584777135356979,0.0016534682632002246,0.0024130861599508642,0.0002374042657342071
0.896,256,0.3203125,0.06010303005561839,0.0016808724660035005,0.00262445890506149,0.0002558027081062282
0.896,256,0.328125,0.06174514749662789,0.0017082490894968062,0.002856173187628482,0.0002807933844087124
0.896,256,0.3359375,0.06340307123906057,0.0017355845103843013,0.0031246341294414687,0.0002567318813536853
0.896,256,0.34375,0.0650745954643695,0.001762770194295247,0.0034059647176876593,0.00027154442910337965
0.896,256,0.3515625,0.06675773845656945,0.0017896727858093045,0.0037006960840681212,0.00028512342339149924
0.896,256,0.359375,0.06845363507522607,0.0018162275986944782,0.004021050191137622,0.0003794283714163272
0.896,256,0.3671875,0.07016648314836892,0.001842473909939807,0.004422233160483344,0.0004133470271239247
0.896,256,0.375,0.07190139587669965,0.0018685043699468713,0.004799243211658274,0.0004031950016742691
0.896,256,0.3828125,0.0736624353283636,0.0018944021493434216,0.005266890718678478,0.0004051982407345455
0.896,256,0.390625,0.07545083724116548,0.0019201879011592753,0.0057298774592704944,0.0004605163028968625
0.896,256,0.3984375,0.0772662591557547,0.0019458316593568483,0.006222878254390516,0.0005431148866843351
0.896,256,0.40625,0.07910692002116539,0.001971270932087391,0.006714668913548298,0.0006263543409332195
0.896,256,0.4140625,0.08096913276155199,0.001996421624941994,0.0073173065901194715,0.0006835055714218848
0.896,256,0.421875,0.08285068168528975,0.0020212274049546124,0.00794557868927702,0.0007327741166187367
0.896,256,0.4296875,0.08475439518674846,0.0020456963162194864,0.0086329634772651,0.0007343208770858841
0.896,256,0.4375,0.08668719174424952,0.002069923361798725,0.009316485385491602,0.0008243831397006341
0.896,256,0.4453125,0.08865535353141614,0.0020940649693527587,0.009990524744494318,0.00085425128011691
0.896,256,0.453125,0.09066302257710221,0.002118272435069266,0.010827837383844099,0.0008160413596472594
0.896,256,0.4609375,0.09271382664116265,0.0021426401049153675,0.011732099248347458,0.0009537473410301528
0.896,256,0.46875,0.09481158851330933,0.002167209642544054,0.012771403917149171,0.0010286709410669073
0.896,256,0.4765625,0.09695953151213017,0.0021920092834278792,0.013935580421630907,0.000991199393653029
0.896,256,0.484375,0.09915970997107734,0.002217054776378428,0.015179460029719573,0.0012414094094517433
0.896,256,0.4921875,0.10141517797142453,0.002242342581672035,0.0164186214430338,0.0014028363661805435
0.896,256,0.5,0.1037289400126167,0.002267884721371961,0.01781607590712283,0.0014676411665840556
0.896,256,0.5078125,0.1060992164210986,0.002293672801987587,0.019444497666811493,0.0015844481750208193
0.896,256,0.515625,0.10852602709201736,0.0023197137417204205,0.021124027881967558,0.0015990157131620375
0.896,256,0.5234375,0.11101647402399077,0.0023461207074856414,0.022465467912702094,0.0017158698923977046
0.896,256,0.53125,0.1135781052647666,0.0023729555446999956,0.02417298482337465,0.001780629246077811
0.896,256,0.5390625,0.11621499384866091,0.0024001439256932243,0.026020746153574553,0.001939670351340301
0.896,256,0.546875,0.1189272750376054,0.002427549024746397,0.027931205140514496,0.002018016368380521
0.896,256,0.5546875,0.12171218971723254,0.0024550544707549722,0.029999490842090963,0.0021406041525687384
0.896,256,0.5625,0.12456516471688554,0.002482635391982163,0.03230518156550989,0.002392771206870945
0.896,256,0.5703125,0.12748158706426357,0.0025103027415647123,0.03449874926361456,0.002505585658523411
0.896,256,0.578125,0.13046308829918482,0.0025380778394509694,0.03686900187126107,0.002344368338047451
0.896,256,0.5859375,0.13351875712340897,0.0025660129088600613,0.03944363237726559,0.002191502232172737
0.896,256,0.59375,0.1366579482349926,0.002594123440745987,0.04212846468638666,0.002239139177134573
0.896,256,0.6015625,0.1398873023728283,0.0026223664659417094,0.04468334889680853,0.0023512395213290873
0.896,256,0.609375,0.14321105365446338,0.0026506398800788026,0.04771808029614941,0.0026753930222049903
