sigma,L,T,mean,sem
0.25,1024,0.75,0.7016554685290932,0.0019914052222601
0.25,1024,0.775,0.6698978007783986,0.002068041050958404
0.25,1024,0.8,0.6318957608096739,0.0021520394736014134
0.25,1024,0.825,0.5874407567869236,0.002230563086852049
0.25,1024,0.85,0.5351329181655633,0.0022926570570541613
0.25,1024,0.875,0.4761538263703406,0.002317831363526697
0.25,1024,0.9,0.4102149627969685,0.00229252777913123
0.25,1024,0.925,0.34130287055319025,0.0021885953939863264
0.25,1024,0.95,0.2711611903239301,0.0020088347562281124
0.25,1024,0.975,0.20598468267693745,0.0017727290191855765
0.25,1024,1.0,0.14894576723210906,0.001529900645040848
0.25,1024,1.025,0.1033730926144064,0.0012529033177859786
0.25,1024,1.05,0.06958254947367001,0.0010400929525819721
0.25,1024,1.075,0.04731261424064837,0.0007955265698111124
0.25,1024,1.1,0.03225386244941589,0.0006093142849523795
0.25,1024,1.125,0.02231680978442665,0.0004634005178807289
0.25,1024,1.15,0.016537665264132244,0.0003704789459926483
0.25,1024,1.175,0.01319211891194445,0.0003167618917326249
0.25,1024,1.2,0.01081319104638316,0.00028830221973193875
0.25,1024,1.225,0.008458063464110805,0.00027730820848618256
0.25,1024,1.25,0.007285119649290039,0.00027255628979452976
0.25,1024,1.275,0.00674631321531574,0.0002708792734374917
0.25,1024,1.3,0.005237633536090075,0.0002720630447566815
0.25,1024,1.325,0.005191978690801197,0.00027113366309116277
0.25,1024,1.35,0.004533395490925946,0.00027264177253670085
0.25,1024,1.375,0.004351495644730155,0.0002676291651220397
0.25,1024,1.4,0.004057842163870024,0.00026738368685642156
0.25,1024,1.425,0.003716851708734824,0.0002706732755795073
0.25,1024,1.45,0.003412304839260208,0.0002717703237489124
0.25,1024,1.475,0.003338807604438295,0.0002734278571534117
0.25,1024,1.5,0.003670808614697511,0.00027201567246125364
