sigma,L,T,mean,sem
0.25,4096,0.85,0.6715387913556035,0.0028518004786456702
0.25,4096,0.875,0.6122551752977977,0.003038630302173169
0.25,4096,0.9,0.5379274531983212,0.003181186928665381
0.25,4096,0.925,0.4453900772667133,0.0032117750937777053
0.25,4096,0.95,0.3406478949788253,0.003009872262186154
0.25,4096,0.975,0.2328672091327957,0.0025645021149321113
0.25,4096,1.0,0.13914839673166496,0.0019262114147882005
0.25,4096,1.025,0.07258145885680993,0.0014125955591027565
0.25,4096,1.05,0.03504526912219565,0.0010302554381160667
0.25,4096,1.075,0.017753253366210232,0.0006831081321089262
0.25,4096,1.1,0.00957985730659273,0.0005049307466357791
0.25,4096,1.125,0.0058846114645982345,0.00043270845631017353
0.25,4096,1.15,0.0048413054515801844,0.00041761790577659534
0.25,4096,1.175,0.0035182821842987435,0.0003952899310199658
0.25,4096,1.2,0.00236057453052554,0.0004009912931614895
0.25,4096,1.225,0.0031333788508768074,0.0003899327657138143
0.25,4096,1.25,0.0017774103943533094,0.00039568401096055027
0.25,4096,1.275,0.0018308342173241434,0.0003887820901165466
0.25,4096,1.3,0.0016696565541200678,0.0003871200194223416
0.25,4096,1.325,0.0014553076392129587,0.0003916284990371882
0.25,4096,1.35,0.00145102956865979,0.00039457344812170365
0.25,4096,1.375,0.0009605602520661082,0.0003820302496598512
0.25,4096,1.4,0.0013808262638058946,0.0003847934889699421
0.25,4096,1.425,0.0010496744820100298,0.0003908472600337866
0.25,4096,1.45,0.001158153682187034,0.0003874454748535639
0.25,4096,1.475,0.0007821433311625727,0.00038679845225747934
0.25,4096,1.5,0.0015798955857970758,0.0003917742179211577
0.25,4096,1.525,0.0008217319232686513,0.0003835081314081333
