L,Temp,LogSweeps,mean,sem
24,8.771412,10,0.942130461568,0.000348467824092
24,8.77187,10,0.932851599675,0.000379876602401
24,8.772327,10,0.92101245879,0.000498434704647
24,8.772784,10,0.904881148468,0.000560851706348
24,8.773241,10,0.885421396091,0.000696391305494
24,8.773699,10,0.860883634738,0.000822523834372
24,8.774156,10,0.834421737223,0.000934806665282
24,8.774613,10,0.802135446136,0.00107669175397
24,8.77507,10,0.768288243406,0.00112724436915
24,8.775528,10,0.725536344165,0.00122561815722
24,8.775985,10,0.684661336995,0.00132145387449
24,8.776442,10,0.640477579878,0.00140690163032
24,8.7769,10,0.596183539474,0.00153578445157
24,8.777357,10,0.545394941144,0.00172154436012
24,8.777814,10,0.505255682333,0.00175918899192
24,8.778271,10,0.462547732566,0.00185479048006
#24,8.77846,10,0.442384906103,0.00457254763613
24,8.778729,10,0.417361351431,0.00204217024672
24,8.779186,10,0.376676688948,0.00235172729885
24,8.779643,10,0.344047741796,0.00237015225631
24,8.7801,10,0.309490478104,0.00263516404552
24,8.780558,10,0.282630858428,0.00281313885949
24,8.781015,10,0.253031243227,0.00300483297227
24,8.781472,10,0.223210399293,0.00312836016486
24,8.78193,10,0.204727065735,0.00349242747688
24,8.782387,10,0.186455053251,0.00350482238244
24,8.782844,10,0.17367367878,0.00373830185542
24,8.783301,10,0.158174101746,0.00377947907764
24,8.783759,10,0.146677531869,0.00369509693799
24,8.784216,10,0.133686668131,0.00404407631699
24,8.784673,10,0.115286630623,0.0038513309562
24,8.78513,10,0.10501746118,0.00393850665349
24,8.785588,10,0.0988921562262,0.00443158768387
