Sigma,N,Delta,Delta_err
0.896,64,0.11576923076923076,0.00667282752803749
0.896,128,0.11058876203268413,0.004975623633510828
0.896,256,0.12550010528532324,0.005140684613911856
0.896,512,0.12634238787113075,0.0051579063861511435
0.896,1024,0.12823752368919772,0.005196446695831993
