L,mean,std
8,0.46828040294591966,0.0010070152899929194
10,0.45872331981435316,0.0011521165239626722
12,0.4555645739370574,0.0010660302429844667
14,0.45221293842347465,0.0010362591566055
16,0.44801067858279386,0.001271825660799385
18,0.44404175655880956,0.0014806994009845186
20,0.44492656694281246,0.0012926660182461928
24,0.4430169437788018,0.0013409401975818034
28,0.4402937954552301,0.001516263255282485
32,0.4363645359750442,0.0021330105504998795
36,0.43659615470255075,0.0018580669346194613
